Date,CTVA,IR,ACMR,ALTM,BNTX,BWB,CARG,CGBD,CHX,CMBM,CRNC,EXPI,EYE,FLMN,FNKO,FOCS,FRG,FTDR,FUTU,GO,GRWG,GSHD,GSKY,GTX,HHR,HLNE,ILPT,IMXI,INMD,LAZY,LBC,LPRO,LSEA,LX,MESA,MRBK,NCSM,NESR,NIU,NMRK,OPRA,OPRT,PECO,PGNY,PLMR,PNTG,ROAD,ROKU,RTLR,SCPL,SGH,SITM,SMPL,STXB,TW,VCTR,VRRM,XP,SAFE
2019-08-12,28.591577529907227,27.974964141845703,17.799999237060547,2.385688066482544,,11.4399995803833,31.920000076293945,10.190617561340332,28.670000076293945,8.600000381469727,,4.4925312995910645,30.700000762939453,5.334094047546387,23.59000015258789,22.75,10.54164981842041,49.779998779296875,10.020000457763672,37.540000915527344,4.929999828338623,44.44503402709961,7.230000019073486,11.479999542236328,17.557226181030273,52.6178092956543,18.881227493286133,14.380000114440918,6.875,4.369999885559082,10.122166633605957,10.170000076293945,10.210000038146973,10.100000381469727,5.840000152587891,16.590381622314453,45.599998474121094,7.900000095367432,7.989999771118164,8.64675235748291,9.680000305175781,,,,29.84000015258789,,15.149999618530273,134.3000030517578,15.104203224182129,10.029999732971191,13.770000457763672,,26.40999984741211,20.82876968383789,45.460838317871094,16.864704132080078,13.989999771118164,,28.542627334594727
2019-08-13,28.56262969970703,28.317703247070312,18.309999465942383,2.4767448902130127,,11.5600004196167,32.43000030517578,10.190617561340332,28.530000686645508,8.510000228881836,,4.762083053588867,30.020000457763672,5.317079067230225,23.799999237060547,23.399999618530273,10.5504789352417,50.439998626708984,10.369999885559082,37.599998474121094,4.949999809265137,44.39557647705078,7.579999923706055,11.529999732971191,17.804641723632812,53.97737121582031,18.890108108520508,14.489999771118164,7.0,4.814000129699707,10.102943420410156,10.180000305175781,10.21399974822998,10.270000457763672,6.139999866485596,16.77783966064453,45.20000076293945,7.909999847412109,7.550000190734863,8.73341178894043,10.5,,,,34.33000183105469,,14.970000267028809,135.3300018310547,15.563679695129395,10.109999656677246,14.1850004196167,,27.18000030517578,20.740428924560547,44.96648406982422,16.51355743408203,13.989999771118164,,28.319028854370117
2019-08-14,27.346786499023438,27.224639892578125,14.510000228881836,2.3219480514526367,,11.220000267028809,31.190000534057617,10.004929542541504,26.290000915527344,9.140000343322754,,4.657257556915283,28.770000457763672,5.146932601928711,23.360000610351562,21.899999618530273,10.5504789352417,49.91999816894531,10.0,39.5,4.71999979019165,43.61410140991211,7.369999885559082,11.260000228881836,17.776094436645508,53.022789001464844,18.650428771972656,14.15999984741211,8.125,4.519999980926514,9.929912567138672,10.170000076293945,10.180000305175781,9.979999542236328,6.190000057220459,16.590381622314453,39.20000076293945,7.599999904632568,7.159999847412109,8.415657997131348,10.100000381469727,,,,34.09000015258789,,15.170000076293945,130.57000732421875,14.719919204711914,10.029999732971191,13.635000228881836,,26.100000381469727,20.29872703552246,43.710819244384766,15.586925506591797,13.819999694824219,,27.706571578979492
2019-08-15,27.423982620239258,27.270959854125977,13.979999542236328,2.3401594161987305,,11.289999961853027,31.09000015258789,10.049492835998535,26.110000610351562,9.0,,4.4925312995910645,28.780000686645508,5.112903594970703,22.010000228881836,21.40999984741211,10.532822608947754,49.189998626708984,10.069999694824219,43.7599983215332,4.739999771118164,43.00079345703125,7.159999847412109,10.949999809265137,17.861740112304688,53.27348709106445,18.650428771972656,14.109999656677246,9.125,4.519999980926514,9.804947853088379,10.170000076293945,10.180000305175781,10.180000305175781,5.829999923706055,16.805959701538086,39.0,7.510000228881836,7.179999828338623,8.271225929260254,9.989999771118164,,,,35.130001068115234,,14.399999618530273,129.39999389648438,14.602957725524902,10.069999694824219,13.885000228881836,,26.56999969482422,20.072969436645508,44.48202133178711,15.069963455200195,13.779999732971191,,27.73573875427246
2019-08-16,29.180198669433594,27.77117156982422,13.979999542236328,2.5040619373321533,,11.390000343322754,31.209999084472656,10.227755546569824,26.09000015258789,8.979999542236328,,4.662249565124512,27.719999313354492,5.359616279602051,22.219999313354492,21.75,10.532822608947754,50.349998474121094,10.6899995803833,46.63999938964844,4.579999923706055,43.03046798706055,7.119999885559082,11.449999809265137,17.842708587646484,53.5241813659668,18.872350692749023,14.300000190734863,9.949999809265137,4.52400016784668,10.352872848510742,10.170000076293945,10.149999618530273,10.670000076293945,6.139999866485596,16.805959701538086,40.599998474121094,7.670000076293945,7.380000114440918,8.415657997131348,9.90999984741211,,,,36.529998779296875,,14.75,131.0399932861328,14.770040512084961,10.5,14.170000076293945,,26.479999542236328,20.190753936767578,44.37326431274414,15.43086051940918,13.90999984741211,,28.046829223632812
2019-08-19,29.498632431030273,28.021278381347656,14.0600004196167,2.3492653369903564,,11.380000114440918,32.11000061035156,10.302031517028809,27.510000228881836,8.6899995803833,,4.787041664123535,27.5,5.385137557983398,22.479999542236328,21.75,10.56813907623291,50.77000045776367,10.680000305175781,43.33000183105469,4.599999904632568,42.8623046875,7.239999771118164,11.430000305175781,17.538192749023438,53.97737121582031,18.96112060546875,14.5,10.25,4.5,10.237518310546875,10.170000076293945,10.199999809265137,10.430000305175781,6.480000019073486,16.965303421020508,40.400001525878906,7.869999885559082,7.699999809265137,8.68838882446289,10.569999694824219,,,,36.86000061035156,,14.970000267028809,134.9600067138672,15.313057899475098,10.5600004196167,14.03499984741211,,27.06999969482422,20.740428924560547,44.48202133178711,15.577173233032227,13.819999694824219,,28.144044876098633
2019-08-20,29.19949722290039,27.558116912841797,14.229999542236328,2.367476463317871,,11.40999984741211,31.739999771118164,10.443154335021973,27.18000030517578,8.850000381469727,,4.69719123840332,27.829999923706055,5.495732307434082,22.850000381469727,21.760000228881836,10.5504789352417,50.95000076293945,10.979999542236328,42.959999084472656,4.545000076293945,42.911766052246094,7.25,11.180000305175781,17.252708435058594,53.97737121582031,18.79245948791504,14.40999984741211,10.925000190734863,4.590000152587891,10.285582542419434,10.15999984741211,10.199999809265137,10.34000015258789,6.260000228881836,16.991546630859375,42.20000076293945,7.820000171661377,8.229999542236328,8.561763763427734,11.020000457763672,,,,34.95000076293945,,14.779999732971191,134.25999450683594,15.1209135055542,10.420000076293945,13.760000228881836,,26.809999465942383,20.5343017578125,45.282867431640625,15.62594223022461,13.920000076293945,,28.124601364135742
2019-08-21,29.50827980041504,27.4099063873291,14.25,2.3401594161987305,,11.720000267028809,32.38999938964844,10.584278106689453,26.959999084472656,9.0,,4.612332344055176,28.280000686645508,5.563791275024414,23.40999984741211,21.6200008392334,10.5504789352417,51.56999969482422,11.199999809265137,41.779998779296875,4.71999979019165,42.931549072265625,7.25,11.09000015258789,17.128999710083008,54.536617279052734,18.96112060546875,14.149999618530273,11.300000190734863,4.599999904632568,10.218293190002441,10.180000305175781,10.199999809265137,10.739999771118164,6.25,16.769405364990234,44.79999923706055,7.78000020980835,8.720000267028809,8.668906211853027,11.489999771118164,,,,35.099998474121094,,14.850000381469727,138.5800018310547,15.196100234985352,10.600000381469727,13.925000190734863,,27.350000381469727,20.710983276367188,45.33230209350586,15.664956092834473,13.899999618530273,,28.017663955688477
2019-08-22,29.22844886779785,27.31727409362793,14.729999542236328,2.2855255603790283,,11.520000457763672,32.150001525878906,10.606561660766602,26.399999618530273,9.199999809265137,,4.392697811126709,28.739999771118164,5.470211029052734,23.270000457763672,21.190000534057617,10.56813907623291,51.72999954223633,11.149999618530273,43.560001373291016,4.829999923706055,43.208526611328125,7.300000190734863,11.109999656677246,17.16706657409668,55.33692932128906,18.987749099731445,13.970000267028809,11.390000343322754,4.599999904632568,10.189457893371582,10.170000076293945,10.199999809265137,10.029999732971191,6.059999942779541,16.730976104736328,43.20000076293945,7.539999961853027,8.9399995803833,8.425399780273438,12.699999809265137,,,,34.279998779296875,,14.529999732971191,139.13999938964844,14.995599746704102,10.470000267028809,13.984999656677246,,29.959999084472656,20.455778121948242,44.50178909301758,15.596678733825684,13.989999771118164,,27.901002883911133
2019-08-23,28.031904220581055,26.150104522705078,14.09000015258789,2.094306230545044,,11.199999809265137,31.239999771118164,10.50257682800293,24.770000457763672,8.920000076293945,,4.2329630851745605,26.93000030517578,5.226315975189209,22.040000915527344,20.200000762939453,10.585795402526855,50.599998474121094,11.319999694824219,41.75,5.03000020980835,43.347015380859375,7.050000190734863,10.6899995803833,17.033838272094727,54.112361907958984,18.51727294921875,13.579999923706055,10.305000305175781,4.659999847412109,10.054878234863281,10.15999984741211,10.190999984741211,10.029999732971191,6.010000228881836,16.77128028869629,40.400001525878906,7.300000190734863,8.609999656677246,7.9676032066345215,12.890000343322754,,,,33.83000183105469,,13.970000267028809,137.74000549316406,14.636374473571777,9.880000114440918,13.28499984741211,,28.540000915527344,20.230018615722656,43.710819244384766,14.943161010742188,13.6899995803833,,27.026060104370117
