,0
2021-12-31,262.3043347450355
2022-01-01,262.4088454581212
2022-01-02,262.0262508876799
2022-01-03,262.42636240225005
2022-01-04,264.5055941437746
2022-01-05,266.6150182185171
2022-01-06,274.83222283732016
2022-01-07,273.99712105905843
2022-01-08,274.2817544612245
2022-01-09,274.80264745456
2022-01-10,273.7002390799733
2022-01-11,276.36658934061995
2022-01-12,278.7000713221164
2022-01-13,277.2808040589753
2022-01-14,275.8852902161843
2022-01-15,271.7348005315041
2022-01-16,274.7992635175638
2022-01-17,278.55079119287217
2022-01-18,277.3585830397102
2022-01-19,282.44625261901245
2022-01-20,284.26246100388283
2022-01-21,286.8022610150652
2022-01-22,286.0187315218594
2022-01-23,287.7391309035292
2022-01-24,287.17704185731935
2022-01-25,284.47601659805895
2022-01-26,283.7625708431277
2022-01-27,289.10136218102565
2022-01-28,292.6501188095042
2022-01-29,294.889470635926
2022-01-30,297.9248172907249
2022-01-31,299.7915021935983
2022-02-01,300.6843442803139
2022-02-02,296.19543809414733
2022-02-03,296.96782791793424
2022-02-04,290.91055223717353
2022-02-05,286.3121163338686
2022-02-06,286.0631419799738
2022-02-07,287.6711568741497
2022-02-08,286.55219834960764
2022-02-09,289.41475496722256
2022-02-10,290.75436899237036
2022-02-11,291.37001300070017
2022-02-12,291.3591879852162
2022-02-13,290.6122839584604
2022-02-14,287.6896516466493
2022-02-15,283.21067610779636
2022-02-16,281.92076493058715
2022-02-17,280.5333863968428
2022-02-18,279.6204366394152
2022-02-19,276.39934820785766
2022-02-20,276.71841417908524
2022-02-21,275.2196191490674
2022-02-22,274.83412672896634
2022-02-23,274.7900390407983
2022-02-24,274.33905273582667
2022-02-25,275.82393811979597
2022-02-26,274.56319479440634
2022-02-27,274.3762720652519
2022-02-28,277.14431982155475
2022-03-01,274.16199806182
2022-03-02,278.0949142127476
2022-03-03,283.2985116286136
2022-03-04,284.03310812769257
2022-03-05,288.0738533672143
2022-03-06,292.6178371583257
2022-03-07,297.00647734237185
2022-03-08,299.68356303986934
2022-03-09,296.55058037296567
2022-03-10,300.4446149510442
2022-03-11,301.57101732191006
2022-03-12,300.0350211534867
2022-03-13,303.9783517360511
2022-03-14,304.23192578228367
2022-03-15,306.69979436298155
2022-03-16,310.3461298227518
2022-03-17,310.4183939371053
2022-03-18,310.18440312536956
2022-03-19,305.82639829716896
2022-03-20,303.9509861125134
2022-03-21,305.1129668803733
2022-03-22,307.4897334522339
2022-03-23,309.8396236728122
2022-03-24,309.677359074916
2022-03-25,306.9065829474046
2022-03-26,307.89408495622996
2022-03-27,308.16481468287844
2022-03-28,307.52414111033306
2022-03-29,310.61163352951473
2022-03-30,307.4302037567488
2022-03-31,306.62259723088107
2022-04-01,310.1112130147978
2022-04-02,310.53889988783806
2022-04-03,310.3935347821218
2022-04-04,313.815166103539
2022-04-05,317.95388261769074
2022-04-06,320.25073648802015
2022-04-07,319.60096020213746
2022-04-08,321.0435393111512
2022-04-09,325.11875839444997
2022-04-10,323.91594860943195
2022-04-11,322.7305902712808
2022-04-12,322.87037535130486
2022-04-13,324.24801366132203
2022-04-14,326.4434422943102
2022-04-15,324.2823213287084
2022-04-16,323.27140621084556
2022-04-17,322.7340742000239
2022-04-18,323.3352982472926
2022-04-19,322.05417626738614
2022-04-20,322.7095816807355
2022-04-21,321.8483096655794
2022-04-22,319.68463600840073
2022-04-23,314.7967007057495
2022-04-24,314.54350070280145
2022-04-25,311.96481461939015
2022-04-26,310.72322747182824
2022-04-27,313.47245335399316
2022-04-28,311.82375305052835
2022-04-29,310.8918805425523
2022-04-30,308.2513033150053
2022-05-01,307.98714632909724
2022-05-02,310.3397270040931
2022-05-03,306.5372253620199
2022-05-04,304.78007290813804
2022-05-05,309.94357380087274
2022-05-06,311.2407004113566
2022-05-07,314.0834553014227
2022-05-08,314.76031942218304
2022-05-09,314.53507095873425
2022-05-10,313.16990937395576
2022-05-11,314.91065473507354
2022-05-12,318.5357061808577
2022-05-13,317.31334385502475
2022-05-14,317.3607465559715
2022-05-15,325.7605389688023
2022-05-16,331.1787141795577
2022-05-17,329.6767457975065
2022-05-18,328.68515364226505
2022-05-19,327.2612687261934
2022-05-20,325.32448469271276
2022-05-21,322.28491404326036
2022-05-22,322.51344982462314
2022-05-23,323.1654370516155
2022-05-24,322.51000618113324
2022-05-25,324.3001707658105
2022-05-26,325.0129535630381
2022-05-27,327.83177056753226
2022-05-28,327.1306716489431
2022-05-29,330.14274746048
2022-05-30,328.53994795687936
2022-05-31,332.1037634128009
2022-06-01,334.0910605905983
2022-06-02,332.8845321398345
2022-06-03,329.5622800166904
2022-06-04,328.85607979323623
2022-06-05,328.1025190414013
2022-06-06,333.35055933979044
2022-06-07,335.6599264879921
2022-06-08,338.9608317769591
2022-06-09,340.5514646893889
2022-06-10,339.90709641461433
2022-06-11,343.139466311794
2022-06-12,343.8112309588314
2022-06-13,347.1098178444938
2022-06-14,350.2912832357007
2022-06-15,347.9568467567587
2022-06-16,349.7831069831524
2022-06-17,351.1007893468414
2022-06-18,351.9497754865702
2022-06-19,355.9353622993111
2022-06-20,353.3982451256081
2022-06-21,352.9246409643987
2022-06-22,356.29538651590565
2022-06-23,352.0649105357094
2022-06-24,350.8012927076486
2022-06-25,347.7088454433478
2022-06-26,347.0563807479432
2022-06-27,348.5599327720783
2022-06-28,346.9948506260821
2022-06-29,346.9838829471346
2022-06-30,344.7909923934305
2022-07-01,343.71343235240204
2022-07-02,345.1570284315051
2022-07-03,343.551962696395
2022-07-04,340.61948184682876
2022-07-05,341.4386867341943
2022-07-06,338.3552723473213
2022-07-07,340.72367939130424
2022-07-08,342.0720812720164
2022-07-09,339.9743782445018
2022-07-10,340.7408411309818
2022-07-11,340.9611984394981
2022-07-12,340.08968322674696
2022-07-13,339.2794147654224
2022-07-14,339.87106898731696
2022-07-15,339.01864044131946
2022-07-16,338.1024142998329
