,weights,returns,volatility,sectors
LHX,0.0048483,0.0009225830069999999,0.00132552522,Industry
ODFL,0.0228126,0.008729469516,0.006798382925999999,Industry
SAIA,0.0023390999999999998,0.0009320377859999998,0.0009310319729999999,Industry
AXP,0.00164295,0.000345216654,0.00056353185,Financial Services
TROW,0.01234935,0.002388858264,0.0037098682335,Financial Services
CG,0.01797795,0.004967307585,0.006533546589,Financial Services
CSWC,0.013029749999999998,0.0025875780524999992,0.004312195762499999,Financial Services
CBRE,0.02364525,0.005770859715,0.008304684704999999,Real Estate
SBAC,0.05135475,0.0121849415325,0.0137425311,Real Estate
ETR,0.105,0.0124719,0.02730945,Utilities
CCEP,0.045,0.0049689,0.013297049999999998,Consumer Defensive
Bonds,0.7,0.012459999999999999,0.0,Bonds
