,weights,returns,volatility,sectors
LHX,0.006451600000000001,0.001227674964,0.00176386744,Industry
ODFL,0.030428000000000007,0.011643578480000003,0.009067848280000002,Industry
SAIA,0.0031204000000000006,0.0012433545840000002,0.0012420128120000002,Industry
AXP,0.0014636000000000002,0.00030753163200000007,0.0005020148000000001,Financial Services
TROW,0.010975600000000004,0.0021231200640000007,0.003297179996000001,Financial Services
CG,0.015989600000000003,0.004417926480000001,0.005810940432000001,Financial Services
CSWC,0.011571200000000002,0.0022979246080000004,0.0038294886400000007,Financial Services
CBRE,0.012608000000000001,0.00307710848,0.00442818176,Real Estate
SBAC,0.027392000000000003,0.006499299840000001,0.007330099200000001,Real Estate
ETR,0.04000000000000001,0.0047512000000000006,0.0104036,Utilities
FWONK,0.04000000000000001,0.006244800000000002,0.014860000000000003,Communication Services
Bonds,0.8,0.014240000000000001,0.0,Bonds
