,0
2021-12-31,262.4933955316953
2022-01-01,262.5936245104172
2022-01-02,262.2660341039755
2022-01-03,262.6356715225091
2022-01-04,264.6743176251272
2022-01-05,266.77021260843634
2022-01-06,274.9323491450963
2022-01-07,274.0672530053004
2022-01-08,274.3584939571906
2022-01-09,274.8950520450195
2022-01-10,273.8039632937138
2022-01-11,276.4895191889537
2022-01-12,278.82048327117366
2022-01-13,277.4228094519446
2022-01-14,276.0356292443094
2022-01-15,271.9286919829756
2022-01-16,275.0346520407142
2022-01-17,278.7501298023097
2022-01-18,277.61477853182396
2022-01-19,282.64428419079434
2022-01-20,284.4415337378043
2022-01-21,286.9840208201569
2022-01-22,286.2107548476513
2022-01-23,287.895335340875
2022-01-24,287.27159237265386
2022-01-25,284.6488709738791
2022-01-26,283.9449835062055
2022-01-27,289.2567777934915
2022-01-28,292.8171467019705
2022-01-29,295.10002326663954
2022-01-30,298.10472830946725
2022-01-31,299.96473875170585
2022-02-01,300.8662287926781
2022-02-02,296.4253605070759
2022-02-03,297.1785341027552
2022-02-04,291.15021633363034
2022-02-05,286.5849659779125
2022-02-06,286.3608457473527
2022-02-07,287.9547519183307
2022-02-08,286.82840813311066
2022-02-09,289.62756979958687
2022-02-10,290.99645463151535
2022-02-11,291.5398184317279
2022-02-12,291.5530917221782
2022-02-13,290.84830997124305
2022-02-14,287.9611606482655
2022-02-15,283.53336031015465
2022-02-16,282.265885528786
2022-02-17,280.8944686625802
2022-02-18,279.93952171019
2022-02-19,276.7441076827369
2022-02-20,277.0412680524082
2022-02-21,275.5507119740702
2022-02-22,275.1730628338085
2022-02-23,275.1305509961067
2022-02-24,274.6683883417969
2022-02-25,276.0928253964059
2022-02-26,274.8427194814125
2022-02-27,274.73882003262565
2022-02-28,277.4490315785955
2022-03-01,274.46827064594163
2022-03-02,278.3600731258606
2022-03-03,283.6141954889589
2022-03-04,284.3144700895994
2022-03-05,288.28875693676
2022-03-06,292.8241088105624
2022-03-07,297.1612570314521
2022-03-08,299.77696365011724
2022-03-09,296.6847520392186
2022-03-10,300.528552057653
2022-03-11,301.58684484633363
2022-03-12,300.06631691042475
2022-03-13,303.97464145201087
2022-03-14,304.23959864032435
2022-03-15,306.65969887885046
2022-03-16,310.25652793636095
2022-03-17,310.34132434850096
2022-03-18,310.0645895715704
2022-03-19,305.7352971941945
2022-03-20,303.9083011347109
2022-03-21,305.045867003621
2022-03-22,307.49055971441925
2022-03-23,309.79917380585437
2022-03-24,309.6445383070914
2022-03-25,306.8865896389082
2022-03-26,307.869564650058
2022-03-27,308.1121193885076
2022-03-28,307.49806375314824
2022-03-29,310.6197754661405
2022-03-30,307.4986041170413
2022-03-31,306.68049269272007
2022-04-01,310.154275342196
2022-04-02,310.556865369211
2022-04-03,310.40246320228533
2022-04-04,313.8073187717571
2022-04-05,317.89906411428046
2022-04-06,320.20076514256186
2022-04-07,319.60073838250247
2022-04-08,321.035945113435
2022-04-09,325.0611546004769
2022-04-10,323.90052437133454
2022-04-11,322.7098567052932
2022-04-12,322.82821710578366
2022-04-13,324.2452614355172
2022-04-14,326.48229365306156
2022-04-15,324.3301695752225
2022-04-16,323.3698894779545
2022-04-17,322.81931058697796
2022-04-18,323.40941904393276
2022-04-19,322.1182142063045
2022-04-20,322.7932378107545
2022-04-21,321.9325430924163
2022-04-22,319.7914855991209
2022-04-23,314.9787202504952
2022-04-24,314.7189530822242
2022-04-25,312.1215385211382
2022-04-26,310.9150057670472
2022-04-27,313.64436847608636
2022-04-28,312.04724435779934
2022-04-29,311.153825265806
2022-04-30,308.52818287917046
2022-05-01,308.3041512041426
2022-05-02,310.6171632197679
2022-05-03,306.8465321519956
2022-05-04,305.1291354861279
2022-05-05,310.23825541335583
2022-05-06,311.5247816579429
2022-05-07,314.3352119412704
2022-05-08,314.99720048621674
2022-05-09,314.76373698708267
2022-05-10,313.33948107906315
2022-05-11,315.1041128430196
2022-05-12,318.66369647779686
2022-05-13,317.42202074921386
2022-05-14,317.50025808281094
2022-05-15,325.81334950158816
2022-05-16,331.1152072341582
2022-05-17,329.6243655033815
2022-05-18,328.58824751307105
2022-05-19,327.17281397714925
2022-05-20,325.23648839436646
2022-05-21,322.24517578767615
2022-05-22,322.50045731186714
2022-05-23,323.1227881113823
2022-05-24,322.4400161779645
2022-05-25,324.23588744797775
2022-05-26,324.86271986225836
2022-05-27,327.6722651231951
2022-05-28,326.94372658303143
2022-05-29,329.9359891806745
2022-05-30,328.3868574632181
2022-05-31,331.9553000535843
2022-06-01,333.89394136282317
2022-06-02,332.7013702538828
2022-06-03,329.3819658417009
2022-06-04,328.69074311970957
2022-06-05,327.95925881227464
2022-06-06,333.1372248104893
2022-06-07,335.4130614182698
2022-06-08,338.70162121563004
2022-06-09,340.3119995982323
2022-06-10,339.63083147765275
2022-06-11,342.8315424490193
2022-06-12,343.4972559389355
2022-06-13,346.8120618933985
2022-06-14,349.92303210603086
2022-06-15,347.66456735959787
2022-06-16,349.4699792430339
2022-06-17,350.76529716822864
2022-06-18,351.5795385249606
2022-06-19,355.55684157902454
2022-06-20,353.0275385674329
2022-06-21,352.5678491486188
2022-06-22,355.865975846388
2022-06-23,351.6921468971608
2022-06-24,350.4412790068329
2022-06-25,347.40158524812756
2022-06-26,346.76115056605204
2022-06-27,348.2545116017607
2022-06-28,346.69886001237785
2022-06-29,346.7314266107406
2022-06-30,344.5584087969633
2022-07-01,343.50083939567503
2022-07-02,344.92477406949683
2022-07-03,343.3645076825183
2022-07-04,340.48035941651557
2022-07-05,341.3333299802442
2022-07-06,338.3331608551798
2022-07-07,340.70894249672256
2022-07-08,342.027521742416
2022-07-09,339.9404448632717
2022-07-10,340.6700800137359
2022-07-11,340.91781287026646
2022-07-12,340.06958573972383
2022-07-13,339.2841940727441
2022-07-14,339.8811996973789
